Time,TensaoFonte,CorrenteReal,DisparoInferior,DisparoSuperior,TensaoReal,S1.TensaoDesjada,S1.CorrenteReferencia,S1.AnguloDeDisparo
0.0001,0,0,0,0,0,0.0762,0.5,89.9779
0.0002,-11.7264,-2.51131e-014,0,0,-4.06002e-009,0.1524,0.5,89.9559
0.0003,-23.4362,-1.253e-013,0,0,-1.63574e-008,0.2286,0.5,89.9338
0.0004,-35.1127,-2.74655e-013,0,0,-4.08543e-008,0.3048,0.5,89.9118
0.0005,-46.7392,-5.22878e-013,0,0,-8.16056e-008,0.381,0.5,89.8897
0.0006,-58.2994,-8.68917e-013,0,0,-1.42453e-007,0.4572,0.5,89.8677
0.0007,-69.7767,-1.21127e-012,0,0,-2.27307e-007,0.5334,0.5,89.8456
0.0008,-81.1548,-1.54997e-012,0,0,-3.39868e-007,0.6096,0.5,89.8236
0.0009,-92.4177,-2.08592e-012,0,0,-4.83883e-007,0.6858,0.5,89.8015
0.001,-103.549,-2.81703e-012,0,0,-6.62888e-007,0.762,0.5,89.7795
0.0011,-114.533,-3.54031e-012,0,0,-8.80446e-007,0.8382,0.5,89.7574
0.0012,-125.355,-4.25579e-012,0,0,-1.13991e-006,0.9144,0.5,89.7354
0.0013,-135.999,-5.16443e-012,0,0,-1.44464e-006,0.9906,0.5,89.7133
0.0014,-146.449,-6.26413e-012,0,0,-1.79779e-006,1.0668,0.5,89.6913
0.0015,-156.691,-7.75375e-012,0,0,-2.2025e-006,1.143,0.5,89.6692
0.0016,-166.71,-1.00309e-011,0,0,-2.6617e-006,1.2192,0.5,89.6472
0.0017,-176.493,-1.26854e-011,0,0,-3.17829e-006,1.2954,0.5,89.6251
0.0018,-186.024,-1.53113e-011,0,0,-3.75498e-006,1.3716,0.5,89.6031
0.0019,-195.292,-1.79087e-011,0,0,-4.39441e-006,1.4478,0.5,89.581
0.002,-204.282,-2.00761e-011,0,0,-5.09903e-006,1.524,0.5,89.559
0.0021,-212.981,-2.26214e-011,0,0,-5.87123e-006,1.6002,0.5,89.5369
0.0022,-221.378,-2.59423e-011,0,0,-6.71319e-006,1.6764,0.5,89.5149
0.0023,-229.46,-2.96286e-011,0,0,-7.62702e-006,1.7526,0.5,89.4928
0.0024,-237.216,-3.36764e-011,0,0,-8.61462e-006,1.8288,0.5,89.4708
0.0025,-244.636,-3.80816e-011,0,0,-9.67782e-006,1.905,0.5,89.4487
0.0026,-251.707,-4.24384e-011,0,0,-1.08182e-005,1.9812,0.5,89.4267
0.0027,-258.421,-4.63452e-011,0,0,-1.20374e-005,2.0574,0.5,89.4046
0.0028,-264.767,-5.02084e-011,0,0,-1.33366e-005,2.1336,0.5,89.3826
0.0029,-270.738,-5.48318e-011,0,0,-1.47171e-005,2.2098,0.5,89.3605
0.003,-276.323,-6.10108e-011,0,0,-1.618e-005,2.286,0.5,89.3385
0.0031,-281.516,-6.87287e-011,0,0,-1.7726e-005,2.3622,0.5,89.3164
0.0032,-286.309,-7.71653e-011,0,0,-1.9356e-005,2.4384,0.5,89.2944
0.0033,-290.695,-8.55089e-011,0,0,-2.10705e-005,2.5146,0.5,89.2723
0.0034,-294.668,-9.37601e-011,0,0,-2.28699e-005,2.5908,0.5,89.2503
0.0035,-298.222,-1.01919e-010,0,0,-2.47546e-005,2.667,0.5,89.2282
0.0036,-301.352,-1.09184e-010,0,0,-2.67245e-005,2.7432,0.5,89.2062
0.0037,-304.054,-1.15562e-010,0,0,-2.87798e-005,2.8194,0.5,89.1841
0.0038,-306.325,-1.21866e-010,0,0,-3.092e-005,2.8956,0.5,89.1621
0.0039,-308.159,-1.28901e-010,0,0,-3.3145e-005,2.9718,0.5,89.14
0.004,-309.556,-1.36659e-010,0,0,-3.54542e-005,3.048,0.5,89.118
0.0041,-310.513,-1.44328e-010,0,0,-3.78468e-005,3.1242,0.5,89.0959
0.0042,-311.029,-1.52711e-010,1,1,-4.03221e-005,3.2004,0.5,89.0739
0.0043,-311.102,4.11249e-008,1,1,0.00875354,3.27638,0.5,89.0519
0.0044,-310.734,2.05724e-007,1,1,0.0350369,3.35213,0.5,89.0299
0.0045,-309.924,5.74593e-007,1,1,0.0785913,3.42767,0.5,89.0081
0.0046,-308.674,1.22756e-006,1,1,0.139175,3.50298,0.5,88.9863
0.0047,-306.985,2.24321e-006,1,1,0.216522,3.57807,0.5,88.9645
0.0048,-304.859,3.69875e-006,1,1,0.310344,3.65295,0.5,88.9429
0.0049,-302.301,5.66987e-006,1,1,0.420331,3.72761,0.5,88.9213
0.005,-299.313,8.23073e-006,1,1,0.54615,3.80206,0.5,88.8997
0.0051,-295.899,1.14538e-005,1,1,0.687446,3.8763,0.5,88.8782
0.0052,-292.065,1.54097e-005,0,0,0.843845,3.95032,0.5,88.8568
0.0053,-287.816,2.01672e-005,0,0,1.01495,4.02415,0.5,88.8354
0.0054,-283.159,2.57932e-005,0,0,1.20034,4.09777,0.5,88.8141
0.0055,-278.098,3.23524e-005,0,0,1.39959,4.17119,0.5,88.7929
0.0056,-272.643,3.99074e-005,0,0,1.61224,4.24442,0.5,88.7717
0.0057,-266.8,4.85186e-005,0,0,1.83782,4.31746,0.5,88.7505
0.0058,-260.578,5.8244e-005,0,0,2.07584,4.39031,0.5,88.7295
0.0059,-253.985,6.91393e-005,0,0,2.32579,4.46298,0.5,88.7084
0.006,-247.032,8.12578e-005,0,0,2.58715,4.53548,0.5,88.6874
0.0061,-239.727,9.465e-005,0,0,2.85939,4.60781,0.5,88.6665
0.0062,-232.082,0.000109364,0,0,3.14194,4.67997,0.5,88.6456
0.0063,-224.108,0.000125445,0,0,3.43425,4.75197,0.5,88.6248
0.0064,-215.814,0.000142936,0,0,3.73573,4.82382,0.5,88.604
0.0065,-207.214,0.000161877,0,0,4.0458,4.89552,0.5,88.5832
0.0066,-198.32,0.000182305,0,0,4.36384,4.96709,0.5,88.5625
0.0067,-189.144,0.000204253,0,0,4.68926,5.03852,0.5,88.5418
0.0068,-179.698,0.000227754,0,0,5.02143,5.10982,0.5,88.5212
0.0069,-169.998,0.000252835,0,0,5.35971,5.181,0.5,88.5006
0.007,-160.056,0.000279522,0,0,5.70347,5.25207,0.5,88.48
0.0071,-149.887,0.000307836,0,0,6.05205,5.32303,0.5,88.4595
0.0072,-139.504,0.000337798,0,0,6.40482,5.39389,0.5,88.439
0.0073,-128.923,0.000369422,0,0,6.76112,5.46467,0.5,88.4185
0.0074,-118.16,0.000402723,0,0,7.12027,5.53536,0.5,88.398
0.0075,-107.228,0.000437709,0,0,7.48163,5.60597,0.5,88.3776
0.0076,-96.1435,0.000474388,0,0,7.84451,5.67652,0.5,88.3571
0.0077,-84.9227,0.000512763,0,0,8.20827,5.74701,0.5,88.3367
0.0078,-73.5812,0.000552835,0,0,8.57222,5.81745,0.5,88.3163
0.0079,-62.1352,0.0005946,0,0,8.9357,5.88784,0.5,88.296
0.008,-50.6008,0.000638054,0,0,9.29805,5.9582,0.5,88.2756
0.0081,-38.9946,0.000683186,0,0,9.6586,6.02854,0.5,88.2552
0.0082,-27.3329,0.000729986,0,0,10.0167,6.09886,0.5,88.2349
0.0083,-15.6324,0.000778438,0,0,10.3717,6.16916,0.5,88.2145
0.0084,-3.90963,0.000828524,0,0,10.7229,6.23947,0.5,88.1942
0.0085,7.81865,0.000880222,0,0,11.0697,6.30979,0.5,88.1738
0.0086,19.5358,0.000933507,0,0,11.4115,6.38012,0.5,88.1534
0.0087,31.2252,0.000988353,0,0,11.7476,6.45048,0.5,88.1331
0.0088,42.8703,0.00104473,0,0,12.0774,6.52087,0.5,88.1127
0.0089,54.4544,0.0011026,0,0,12.4003,6.5913,0.5,88.0923
0.009,65.9611,0.00116194,0,0,12.7157,6.66178,0.5,88.0719
0.0091,77.3741,0.0012227,0,0,13.0231,6.73231,0.5,88.0515
0.0092,88.6772,0.00128484,0,0,13.3218,6.80291,0.5,88.031
0.0093,99.8542,0.00134832,0,0,13.6112,6.87359,0.5,88.0106
0.0094,110.889,0.00141309,0,0,13.8909,6.94434,0.5,87.9901
0.0095,121.767,0.0014791,0,0,14.1603,7.01519,0.5,87.9696
0.0096,132.471,0.00154631,0,0,14.4189,7.08613,0.5,87.949
0.0097,142.988,0.00161466,0,0,14.6661,7.15717,0.5,87.9285
0.0098,153.301,0.00168409,0,0,14.9016,7.22833,0.5,87.9079
0.0099,163.396,0.00175455,0,0,15.1248,7.2996,0.5,87.8872
0.01,173.259,0.00182597,0,0,15.3352,7.371,0.5,87.8665
0.0101,182.876,0.0018983,0,0,15.5325,7.44253,0.5,87.8458
0.0102,192.233,0.00197147,0,0,15.7163,7.5142,0.5,87.8251
0.0103,201.317,0.00204541,0,0,15.8861,7.58601,0.5,87.8043
0.0104,210.114,0.00212006,0,0,16.0416,7.65798,0.5,87.7834
0.0105,218.613,0.00219535,0,0,16.1825,7.7301,0.5,87.7626
0.0106,226.802,0.0022712,0,0,16.3083,7.80239,0.5,87.7416
0.0107,234.668,0.00234755,0,0,16.4189,7.87484,0.5,87.7206
0.0108,242.201,0.00242432,0,0,16.5139,7.94748,0.5,87.6996
