Time,Ia,Vt,Torque,Vel,TorqueRef
0.0001,0,0,0,0,-20
0.0002,-4.06806e-025,9.97569e-022,1.132e-009,2.29018e-011,-20
0.0003,-1.20753e-024,4.32788e-020,2.24848e-008,5.00699e-010,-20
0.0004,-1.9827e-024,5.40646e-019,1.70514e-007,4.40529e-009,-20
0.0005,-3.54631e-024,3.73015e-018,7.76765e-007,2.35698e-008,-20
0.0006,-7.09343e-024,1.76915e-017,2.5944e-006,9.17719e-008,-20
0.0007,-1.58149e-023,6.51699e-017,7.04879e-006,2.86863e-007,-20
0.0008,-3.8088e-023,1.99566e-016,1.65365e-005,7.64015e-007,-20
0.0009,-9.05649e-023,5.31715e-016,3.47668e-005,1.80192e-006,-20
0.001,-2.04009e-022,1.2698e-015,6.71406e-005,3.86359e-006,-20
0.0011,-4.33415e-022,2.77764e-015,0.000121161,7.67305e-006,-20
0.0012,-8.67805e-022,5.65242e-015,0.000206869,1.43093e-005,-20
0.0013,-1.64621e-021,1.08293e-014,0.000337306,2.53182e-005,-20
0.0014,-2.98044e-021,1.97107e-014,0.000528984,4.28436e-005,-20
0.0015,-5.17632e-021,3.43318e-014,0.000802375,6.97774e-005,-20
0.0016,-8.66232e-021,5.75537e-014,0.00118241,0.00010993,-20
0.0017,-1.40287e-020,9.33012e-014,0.00169896,0.00016822,-20
0.0018,-2.20634e-020,1.46829e-013,0.00238735,0.000250886,-20
0.0019,-3.38006e-020,2.25042e-013,0.00328886,0.000365716,-20
0.002,-5.05767e-020,3.36835e-013,0.00445116,0.000522295,-20
0.0021,-7.4088e-020,4.935e-013,0.00592883,0.00073228,-20
0.0022,-1.06446e-019,7.09142e-013,0.00778378,0.00100968,-20
0.0023,-1.50262e-019,1.00116e-012,0.0100857,0.00137117,-20
0.0024,-2.08716e-019,1.39075e-012,0.0129125,0.00183642,-20
0.0025,-2.85636e-019,1.90344e-012,0.0163505,0.00242839,-20
0.0026,-3.85575e-019,2.56962e-012,0.0204953,0.00317375,-20
0.0027,-5.13923e-019,3.42519e-012,0.0254513,0.00410321,-20
0.0028,-6.76986e-019,4.5121e-012,0.0313328,0.0052519,-20
0.0029,-8.8205e-019,5.87898e-012,0.0382637,0.00665977,-20
0.003,-1.1375e-018,7.58175e-012,0.0463781,0.00837198,-20
0.0031,-1.45295e-018,9.68422e-012,0.0558202,0.0104393,-20
0.0032,-1.83922e-018,1.22586e-011,0.0667446,0.0129187,-20
0.0033,-2.30849e-018,1.53862e-011,0.0793163,0.0158733,-20
0.0034,-2.87436e-018,1.91579e-011,0.0937109,0.0193734,-20
0.0035,-3.55198e-018,2.36743e-011,0.110115,0.0234964,-20
0.0036,-4.35806e-018,2.90467e-011,0.128724,0.0283277,-20
